,CPU Name,Year Released,Single Core Performance,Multi Core Performance,Clock Speed,Number of Cores,Number of Threads,Rolling Single Core Score,Rolling Multi Core Score,Rolling Average Clock Speed,Rolling Average Number of Cores,Rolling Average Number of Threads,Rolling Year,Rolling STD Single Core Score,Rolling STD Multi Core Score,Rolling STD Clock Speed,Rolling STD Number of Cores,Rolling STD Number of Threads,Rolling STD Year
70,AMD-Ryzen-7-3700X,2004.0,190.0,323.0,1460.0,2.0,2.0,187.6,388.4,1504.0,2.2,2.6,2004.0,1.8165902124584987,95.5578358901038,399.0989852154475,0.4472135954999571,0.8944271909999154,0.0
71,Intel-Core-i7-10700F,2004.0,190.0,637.0,1830.0,4.0,4.0,188.4,447.0,1650.0,2.6,3.0,2004.0,1.8165902124584987,140.7000355365983,344.0930106817051,0.8944271909999154,0.9999999999999996,0.0
72,Intel-Core-i9-9900,2004.0,191.0,354.0,2100.0,2.0,2.0,189.4,456.2,1738.0,2.6,3.0,2004.0,1.516575088810312,130.4710695901587,399.1490949507464,0.8944271909999154,0.9999999999999996,0.0
73,Intel-Core-i7-8700K,2004.0,191.0,333.0,1100.0,2.0,2.0,190.2,436.8,1718.0,2.6,2.6,2004.0,0.8366600265340783,142.039431145017,433.84328967958004,0.8944271909999154,0.8944271909999154,0.0
74,AMD-Ryzen-5-3600X,2004.0,193.0,644.0,1596.0,4.0,4.0,191.0,458.2,1617.2,2.8,2.8,2004.0,1.2247448713915927,166.81037138019937,377.8348845726133,1.095445115010332,1.095445115010332,0.0
75,Intel-Core-i5-9600KF,2004.0,193.0,360.0,2000.0,2.0,2.0,191.6,465.6,1725.2,2.8,2.8,2004.0,1.341640786499878,159.99468741180138,398.2903463555199,1.095445115010332,1.095445115010332,0.0
76,Intel-Core-i5-11260H,2004.0,194.0,359.0,2100.0,2.0,2.0,192.4,410.0,1779.2,2.4,2.4,2004.0,1.341640786499878,131.26499914295516,432.85471003559616,0.8944271909999154,0.8944271909999154,0.0
77,Intel-Core-i5-1135G7,2004.0,194.0,312.0,1600.0,2.0,2.0,193.0,401.6,1679.2,2.4,2.4,2004.0,1.2247448713915927,136.96459396500987,396.43814145462846,0.8944271909999154,0.8944271909999154,0.0
78,AMD-Ryzen-5-5600H,2004.0,194.0,346.0,2800.0,2.0,2.0,193.6,404.2,2019.2,2.4,2.4,2004.0,0.5477225575051748,135.45183645857304,492.79123368826276,0.8944271909999154,0.8944271909999154,0.0
79,Intel-Core-i5-10600,2004.0,195.0,345.0,1600.0,2.0,2.0,194.0,344.4,2020.0,2.0,2.0,2004.0,0.707106781186555,19.424211695716437,491.9349550499537,0.0,0.0,0.0
