,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
52,-2.900693141350296,-5.0571212207437775,-4.2053348465971725,-4.454614771943936,-2.0780037269102083,-1.2322170635144885,-3.2386784521643803,-3.4061725470887394,-3.970291913552122,-4.099319727648686,,
53,-2.88871695030358,-5.014237809865065,-4.180617819646273,-4.487374096716026,-1.9538552973867491,-1.3791644115151636,-3.2386784521643803,-3.4061725470887394,-3.970291913552122,-4.099319727648686,,
54,-2.874923628171244,-5.183845671148547,-4.165113633110308,-4.42085669957853,-2.219779189309813,-1.2016171170954892,-3.2386784521643803,-3.4061725470887394,-3.970291913552122,-4.099319727648686,,
55,-2.8613179761154655,-5.742860858411151,-3.9427396085751267,-4.27280025735635,-2.583098675967214,-1.5692603316918268,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,,
56,-2.8555431766215813,-5.742860858411151,-3.9637438813456587,-4.238531585399352,-3.109924641079646,-2.2255559313702933,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,,
57,-2.847894955783325,-5.876992851708492,-3.7596485250021434,-4.185970722859209,-2.554927799000518,-2.2255559313702933,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-4.548599834499474,-0.20273255405405852
58,-2.842196934668687,-6.186512455911596,-3.8265830767229407,-3.983948972331513,-1.6094379124341003,-0.4596220603405407,-2.6790626642289577,-2.9480271811516623,-3.2771447329921766,-3.896587173594603,-3.8554526539395293,0.0
59,-2.8384162118287812,-6.610161386105177,-3.984395925898328,-4.052603478654486,-1.5534792587860558,-0.5011235516153408,-3.0155349008501706,-3.0007074389805752,-3.2771447329921766,-3.896587173594603,-3.4499875458317435,0.0
60,-2.8365311971330094,-6.812893940159243,-4.206336348934262,-4.183435271437137,-1.5332765514685365,-0.5077404132067866,-3.526360524616161,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-3.162305473379868,-0.20273255405405852
61,-2.830897379414754,-6.1197467595993364,-4.194384015410421,-4.189475811713663,-1.6239309197366671,-0.44656534893631566,-3.526360524616161,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.9391619220656016,
